timestamp,energyConsumption
16/08/2022 20:00,0.042
16/08/2022 20:30,0.042
16/08/2022 21:00,0.057
16/08/2022 21:30,0.602
16/08/2022 22:00,0.354
16/08/2022 22:30,0.179
16/08/2022 23:00,0.056
16/08/2022 23:30,0.052
17/08/2022 00:00,0.033
25/08/2022 00:00,0.112
25/08/2022 00:30,0.093
25/08/2022 01:00,0.095
25/08/2022 01:30,0.066
25/08/2022 02:00,0.05
25/08/2022 02:30,0.034
25/08/2022 03:00,0.041
25/08/2022 03:30,0.059
25/08/2022 04:00,0.036
25/08/2022 04:30,0.034
25/08/2022 05:00,0.035
25/08/2022 05:30,0.06
25/08/2022 06:00,0.168
25/08/2022 06:30,0.04
25/08/2022 07:00,0.066
25/08/2022 07:30,0.042
25/08/2022 08:00,0.034
25/08/2022 08:30,0.035
25/08/2022 09:00,0.054
25/08/2022 09:30,0.041
25/08/2022 10:00,0.03
25/08/2022 10:30,0.036
25/08/2022 11:00,0.054
25/08/2022 11:30,0.031
25/08/2022 12:00,0.029
25/08/2022 12:30,0.032
25/08/2022 13:00,0.692
25/08/2022 13:30,0.187
25/08/2022 14:00,0.02
25/08/2022 14:30,0.036
25/08/2022 15:00,0.019
25/08/2022 15:30,0.018
25/08/2022 16:00,0.036
25/08/2022 16:30,0.015
25/08/2022 17:00,0.038
25/08/2022 17:30,0.048
25/08/2022 18:00,0.03
25/08/2022 18:30,0.032
25/08/2022 19:00,0.056
25/08/2022 19:30,0.036
25/08/2022 20:00,0.034
25/08/2022 20:30,0.046
25/08/2022 21:00,0.049
25/08/2022 21:30,0.036
25/08/2022 22:00,0.039
25/08/2022 22:30,0.059
25/08/2022 23:00,0.03
25/08/2022 23:30,0.033
26/08/2022 00:00,0.043
26/08/2022 00:30,0.033
26/08/2022 01:00,0.017
26/08/2022 01:30,0.016
26/08/2022 02:00,0.039
26/08/2022 02:30,0.016
26/08/2022 03:00,0.013
26/08/2022 03:30,0.024
26/08/2022 04:00,0.032
26/08/2022 04:30,0.013
26/08/2022 05:00,0.013
26/08/2022 05:30,0.035
26/08/2022 06:00,0.026
26/08/2022 06:30,0.013
26/08/2022 07:00,0.014
26/08/2022 07:30,0.034
26/08/2022 08:00,0.019
26/08/2022 08:30,0.013
26/08/2022 09:00,0.018
26/08/2022 09:30,0.037
26/08/2022 10:00,0.015
26/08/2022 10:30,0.013
26/08/2022 11:00,0.024
26/08/2022 11:30,0.031
26/08/2022 12:00,0.013
26/08/2022 12:30,0.013
26/08/2022 13:00,0.032
26/08/2022 13:30,0.025
26/08/2022 14:00,0.013
26/08/2022 14:30,0.013
26/08/2022 15:00,0.035
26/08/2022 15:30,0.162
26/08/2022 16:00,0.017
26/08/2022 16:30,0.013
26/08/2022 17:00,0.031
26/08/2022 17:30,0.025
26/08/2022 18:00,0.013
26/08/2022 18:30,0.016
26/08/2022 19:00,0.04
26/08/2022 19:30,0.015
26/08/2022 20:00,0.012
26/08/2022 20:30,0.027
26/08/2022 21:00,0.029
26/08/2022 21:30,0.013
26/08/2022 22:00,0.724
26/08/2022 22:30,0.055
26/08/2022 23:00,0.053
26/08/2022 23:30,0.033
27/08/2022 00:00,0.036
08/09/2022 00:00,0.034
08/09/2022 00:30,0.053
08/09/2022 01:00,0.052
08/09/2022 01:30,0.04
08/09/2022 02:00,0.04
08/09/2022 02:30,0.027
08/09/2022 03:00,0.038
08/09/2022 03:30,0.022
08/09/2022 04:00,0.036
08/09/2022 04:30,0.029
08/09/2022 05:00,0.037
08/09/2022 05:30,0.023
08/09/2022 06:00,0.033
08/09/2022 06:30,0.025
08/09/2022 07:00,0.036
08/09/2022 07:30,0.029
08/09/2022 08:00,0.029
08/09/2022 08:30,0.029
08/09/2022 09:00,0.026
08/09/2022 09:30,0.215
08/09/2022 10:00,0.024
08/09/2022 10:30,0.013
08/09/2022 11:00,1.207
08/09/2022 11:30,0.157
08/09/2022 12:00,0.073
08/09/2022 12:30,0.059
08/09/2022 13:00,0.054
08/09/2022 13:30,0.04
08/09/2022 14:00,0.023
08/09/2022 14:30,0.046
08/09/2022 15:00,0.072
08/09/2022 15:30,0.134
08/09/2022 16:00,0.069
08/09/2022 16:30,0.035
08/09/2022 17:00,0.02
08/09/2022 17:30,0.027
08/09/2022 18:00,0.048
08/09/2022 18:30,0.055
08/09/2022 19:00,0.108
08/09/2022 19:30,0.049
08/09/2022 20:00,0.049
08/09/2022 20:30,0.331
08/09/2022 21:00,0.285
08/09/2022 21:30,0.154
08/09/2022 22:00,0.1
08/09/2022 22:30,0.109
08/09/2022 23:00,0.105
08/09/2022 23:30,0.093
09/09/2022 00:00,0.083
09/09/2022 00:30,0.031
09/09/2022 01:00,0.024
09/09/2022 01:30,0.021
09/09/2022 02:00,0.027
09/09/2022 02:30,0.02
09/09/2022 03:00,0.025
09/09/2022 03:30,0.024
09/09/2022 04:00,0.014
09/09/2022 04:30,0.023
09/09/2022 05:00,0.023
09/09/2022 05:30,0.014
09/09/2022 06:00,0.024
09/09/2022 06:30,0.014
09/09/2022 07:00,0.025
09/09/2022 07:30,0.015
09/09/2022 08:00,0.022
09/09/2022 08:30,0.019
09/09/2022 09:00,0.018
09/09/2022 09:30,0.023
09/09/2022 10:00,0.016
09/09/2022 10:30,0.155
09/09/2022 11:00,0.05
09/09/2022 11:30,0.642
09/09/2022 12:00,0.491
09/09/2022 12:30,0.03
09/09/2022 13:00,0.019
09/09/2022 13:30,1.08
09/09/2022 14:00,0.036
09/09/2022 14:30,0.063
09/09/2022 15:00,0.023
09/09/2022 15:30,0.017
09/09/2022 16:00,0.023
09/09/2022 16:30,0.02
09/09/2022 17:00,0.018
09/09/2022 17:30,0.022
09/09/2022 18:00,0.015
09/09/2022 18:30,0.02
09/09/2022 19:00,0.023
09/09/2022 19:30,0.014
09/09/2022 20:00,0.023
09/09/2022 20:30,0.018
09/09/2022 21:00,0.017
09/09/2022 21:30,0.023
09/09/2022 22:00,0.012
09/09/2022 22:30,0.025
09/09/2022 23:00,0.016
09/09/2022 23:30,0.021
10/09/2022 00:00,0.023
20/09/2022 00:00,0.032
20/09/2022 00:30,0.028
20/09/2022 01:00,0.026
20/09/2022 01:30,0.025
20/09/2022 02:00,0.023
20/09/2022 02:30,0.022
20/09/2022 03:00,0.016
20/09/2022 03:30,0.023
20/09/2022 04:00,0.023
20/09/2022 04:30,0.02
20/09/2022 05:00,0.017
20/09/2022 05:30,0.025
20/09/2022 06:00,0.022
20/09/2022 06:30,0.014
20/09/2022 07:00,0.024
20/09/2022 07:30,0.089
20/09/2022 08:00,0.026
20/09/2022 08:30,0.033
20/09/2022 09:00,0.025
20/09/2022 09:30,1.319
20/09/2022 10:00,0.026
20/09/2022 10:30,0.021
20/09/2022 11:00,0.015
20/09/2022 11:30,0.023
20/09/2022 12:00,0.018
20/09/2022 12:30,0.018
20/09/2022 13:00,0.025
20/09/2022 13:30,0.012
20/09/2022 14:00,0.024
20/09/2022 14:30,0.017
20/09/2022 15:00,0.02
20/09/2022 15:30,0.025
20/09/2022 16:00,0.12
20/09/2022 16:30,0.789
20/09/2022 17:00,0.032
20/09/2022 17:30,0.024
20/09/2022 18:00,0.027
20/09/2022 18:30,0.03
20/09/2022 19:00,0.025
20/09/2022 19:30,0.039
20/09/2022 20:00,0.047
